year,event
1993,"First humans cloned. Cells taken from defective human embryos that were to be discarded in infertility clinic are grown in vitro and develop up to 32-cell stage and then are destroyed"
1994,"White House launches Web page. Initial commerce sites are established and mass marketing campaigns are launched via email, introducing the term ""spamming"" to the Internet vocabulary."
1995,"First solo transpacific balloon flight. Steve Fossett made a flight of more than 5,430 mi. from Seoul, South Korea, to Leader, Saskatchewan, Canada, in a helium-filled balloon."
1996,"43.2 million (44%) of US households own a personal computer, and 14 million of them are online"
1997,"A team led by Drs. Ian Wilmut and Keith Campbell (UK) create the first sheep with a human gene in every cell of its body. The genetically engineered lamb is named Dolly."
1998,"The Athena probe finds frozen water on moon. Scientists say ice crystals mixed with soil could provide fuel for rockets exploring solar system (Mar. 5)."
1999,"The number of Internet users worldwide reaches 150 million by the beginning of 1999. Over 50% are from the United States."
2000,"Human genome deciphered; expected to revolutionize the practice of medicine (June 26"
2001,"Artificial heart implanted in man. Surgeons in Louisville, Ky., report success of first operation for self-contained organ (July 3)."
2002,"Scientists report a new type of black hole. Hubble Space Telescope finds evidence of a middleweight class of gravitational sink, adding to earlier identified small and super classifications (Sept. 17)."
2003,"Australian and Indonesian archaeologists have unearthed skeletons of tiny people who are being called Homo floresiensis. These 3-foot-tall people had very long arms, heads the size of grapefruit, and are believed to have disappeared only 13,000 years ago, or perhaps even more recently."
2004,"Australian and Indonesian archaeologists have unearthed skeletons of tiny people who are being called Homo floresiensis. These 3-foot-tall people had very long arms, heads the size of grapefruit, and are believed to have disappeared only 13,000 years ago, or perhaps even more recently."
2005,"Scientists discover the skull of a sea-dwelling crocodile that lived 135 million years ago."
2006,"After a seven-year, three-billion-mile expedition, NASA's Stardust spacecraft capsule lands in the Arizona desert with particles captured from Comet Wild-2 (Jan. 15)."
2007,"Two teams of scientists, one in Wisconsin the other in Japan, announce they have discovered a way to make embryonic stem cells without using embryonic stem cells. By adding four genes to skin cells, they were able to reprogram skin cells into any of the body's 220 types of cells (Nov. 20)."
2008,"The space shuttle Atlantis delivered the Columbus science laboratory to the International Space Station (ISS). The $2 billion laboratory has room for three astronauts and ten experimentation racks that can simulate gravity for biotechnical and medical research."
2009,"Brazil wins the bid for the 2016 Olympics and will be the first South American city to host the Games."
2010,"Serena Williams defeated Vera Zvonareva, 6-3, 6-2."
2011,"In one of the worst U.S. tornado seasons in history, 137 reported tornadoes sweep through the south."
2012,"In a rematch of the 2008 Super Bowl, the New York Giants beat the New England Patriots 21-17."
2013," The first ruling against the NSA surveillance program is handed down by Judge Richard Leon of Federal District Court for the District of Columbia. He says the program is ""significantly likely"" to violate the Fourth Amendment which addresses protection against unreasonable searches."
2014,"A coding error is discovered in OpenSSL, encryption software that makes transactions between a computer and a remote secure, making users vulnerable to having their usernames, passwords, and personal information stolen."
2015,"First Man-made Leaf."
2016,"Superwheat could help solve future overpopulation problems."
